EmployeeNumber,BurnoutRisk,Priority,Urgency_Note,Num_Interventions,Interventions
1937,High,CRITICAL,"Key drivers: working overtime, low job satisfaction, low monthly income (financial stress), long tenure with low satisfaction, frequent business travel.",10,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Schedule a manager-employee feedback session | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Offer sabbatical leave or role rotation programme | Reduce business travel frequency or offer travel allowance | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
1938,Medium,MODERATE,"Key drivers: working overtime, below-average work-life balance.",3,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions
1939,High,CRITICAL,"Key drivers: working overtime, very poor environment satisfaction, low monthly income (financial stress), frequent business travel.",9,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Reduce business travel frequency or offer travel allowance | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan
1940,Low,WATCH,Key drivers: poor environment satisfaction.,1,Gather anonymous feedback on workplace conditions
1941,Low,WATCH,"Key drivers: poor environment satisfaction, frequent business travel.",3,Gather anonymous feedback on workplace conditions | Discuss career growth pathway and set a promotion timeline | Reduce business travel frequency or offer travel allowance
1943,Medium,MODERATE,"Key drivers: working overtime, poor environment satisfaction.",3,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Gather anonymous feedback on workplace conditions
1944,Medium,HIGH,"Key drivers: low job satisfaction, very poor environment satisfaction, low monthly income (financial stress), frequent business travel.",7,Schedule a manager-employee feedback session | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Reduce business travel frequency or offer travel allowance | Implement a peer-recognition and rewards programme
1945,High,CRITICAL,"Key drivers: very poor work-life balance, very low job satisfaction, poor environment satisfaction.",8,Enrol in mandatory Employee Wellness Programme | Assign a dedicated HR wellness check-in (bi-weekly) | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Gather anonymous feedback on workplace conditions | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
1947,Medium,MODERATE,"Key drivers: below-average work-life balance, low monthly income (financial stress).",3,Offer optional wellness / mindfulness sessions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
1948,Medium,HIGH,"Key drivers: working overtime, very low job satisfaction.",5,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Implement a peer-recognition and rewards programme
1949,Medium,HIGH,"Key drivers: low job satisfaction, very poor environment satisfaction, low monthly income (financial stress).",5,Schedule a manager-employee feedback session | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
1950,Medium,MODERATE,"Key drivers: below-average work-life balance, very poor environment satisfaction.",3,Offer optional wellness / mindfulness sessions | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement
1951,Low,WATCH,Key drivers: below-average work-life balance.,1,Offer optional wellness / mindfulness sessions
1952,Medium,HIGH,"Key drivers: below-average work-life balance, very low job satisfaction, low monthly income (financial stress), 7 years without promotion.",7,Offer optional wellness / mindfulness sessions | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Fast-track promotion review or provide stretch assignments | Implement a peer-recognition and rewards programme
1954,High,CRITICAL,"Key drivers: below-average work-life balance, very low job satisfaction, very poor environment satisfaction.",8,Offer optional wellness / mindfulness sessions | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
1955,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
1956,Medium,HIGH,"Key drivers: very low job satisfaction, 8 years without promotion, frequent business travel.",4,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Fast-track promotion review or provide stretch assignments | Reduce business travel frequency or offer travel allowance
1960,Medium,MODERATE,"Key drivers: below-average work-life balance, low monthly income (financial stress).",3,Offer optional wellness / mindfulness sessions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
1961,High,CRITICAL,"Key drivers: below-average work-life balance, very low job satisfaction, very poor environment satisfaction, low monthly income (financial stress).",10,Offer optional wellness / mindfulness sessions | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
